Best performing model = GradientBoostingClassifier(max_depth=7, n_estimators=35) 

Accuracy score on the test set = 0.79 

Model parameters = {'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 35} 

    mean_fit_time  std_fit_time  ...  std_test_score  rank_test_score
38       6.861450      0.075983  ...        0.022524                1
39       8.957673      0.086001  ...        0.024828                2
43       9.106729      0.131718  ...        0.023486                3
44      10.722070      1.248787  ...        0.021262                4
34       3.603471      0.120979  ...        0.024123                5
37       4.771161      0.096370  ...        0.018137                6
36       2.872078      0.102964  ...        0.031645                7
42       6.251229      0.059569  ...        0.021455                8
33       2.719618      0.058008  ...        0.020295                9
32       2.057978      0.059280  ...        0.015950               10
41       3.607399      0.039951  ...        0.026259               11
31       1.171151      0.008861  ...        0.011846               12
40       1.125041      0.052751  ...        0.025685               13
29       9.990093      0.213191  ...        0.016652               14
35       0.875980      0.033162  ...        0.019500               15
24       7.851475      0.172381  ...        0.016788               16
28       7.721420      0.094776  ...        0.012366               17
30       0.440522      0.030291  ...        0.008630               18
19       3.579248      0.079227  ...        0.007693               19
18       2.778676      0.086721  ...        0.010155               20
23       6.059919      0.117775  ...        0.010039               21
27       5.517978      0.122341  ...        0.008704               22
22       4.288792      0.169070  ...        0.007705               23
17       2.033133      0.093043  ...        0.018175               24
1        1.152915      0.010033  ...        0.000869               25
10       1.128797      0.025331  ...        0.000869               25
2        1.806165      0.025914  ...        0.000869               25
3        2.532469      0.070969  ...        0.000869               25
4        3.290309      0.061948  ...        0.000869               25
5        0.834966      0.023697  ...        0.000869               25
6        2.591972      0.092652  ...        0.000869               25
7        4.279037      0.187549  ...        0.000869               25
8        6.237550      0.141272  ...        0.000869               25
9        7.918319      0.172286  ...        0.000869               25
11       3.395969      0.099677  ...        0.000869               25
21       2.720214      0.074453  ...        0.000869               25
12       5.510507      0.098792  ...        0.000869               25
13       7.581589      0.118326  ...        0.000869               25
14       9.811918      0.257142  ...        0.000869               25
15       0.415488      0.005802  ...        0.000869               25
16       1.197596      0.064148  ...        0.000869               25
20       0.879612      0.031011  ...        0.000869               25
26       3.373659      0.073111  ...        0.000869               25
25       1.080538      0.023712  ...        0.000869               25
0        0.443613      0.009041  ...        0.000869               25

[45 rows x 16 columns]
